CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
19680,SECURITY STATE BANK,20251231,NM,1,67781,12497,14032,37773,58273,0,0,0,58375,9406,9406,652,102,0,3479,102,0
19681,COMMUNITY BK OF PARKERSBURG,20251231,NM,1,321550,10012,35042,265704,235586,5783,47000,0,290561,30989,30989,4972,2192,52783,10792,2192,0
19687,GARDEN PLAIN STATE BANK,20251231,NM,1,176163,28003,69563,57908,147883,0,0,0,149303,26860,26860,8836,1420,0,20689,1420,0
19689,STATE BANK OF WHITTINGTON,20251231,NM,1,177419,8553,36971,118409,158066,0,0,0,159012,18407,18407,5268,946,0,13486,946,0
19690,NORTHEAST BANK,20251231,NM,1,4947308,446222,10535,4374423,3861110,0,519304,0,4411290,536018,536018,89135,30876,519304,116128,30876,0
19700,VALUEBANK TEXAS,20251231,NM,1,302496,65077,61398,158461,262737,0,0,0,266486,36010,36010,11568,3749,0,17560,3749,0
19716,FIRST CENTRAL STATE BANK,20251231,NM,1,774911,14543,238217,487844,604453,52026,15475,0,679222,95689,95689,26278,7268,67501,34307,7268,0
19720,FARMERS STATE BANK,20251231,NM,1,152733,13974,19049,117105,131326,0,0,0,133016,19717,19717,1221,1690,0,2605,1690,0
19742,FIRST WESTROADS BANK INC,20251231,SM,1,391246,13520,115377,254277,326950,0,20377,0,348957,42289,42289,5241,1630,20377,8072,1630,0
19744,CITIZENS B&T CO OF VIVIAN LA,20251231,NM,1,158997,10747,66394,70187,142515,0,5827,0,148746,10251,10251,5479,404,5827,11669,404,0
19755,SOUTH LAFOURCHE B&T CO,20251231,NM,1,172594,3330,24549,132512,141194,0,10500,0,152712,19882,19882,4532,1018,10500,12203,1018,0
19772,INCREDIBLEBANK,20251231,NM,1,2077345,58804,349399,1530714,1742715,0,140421,0,1921222,156123,156123,78806,38086,140421,138428,38086,0
19788,PEOPLES BANK,20251231,SM,1,1156839,34641,243644,761056,1035811,0,0,0,1042080,114759,114759,39347,6269,0,117498,6269,0
19795,ABBYBANK,20251231,NM,1,656821,50871,143247,425505,571930,2500,30000,0,606430,50391,50391,19978,2000,32500,37198,2000,0
19796,MIDLAND COMMUNITY BANK,20251231,NM,1,69509,8050,18319,37198,57852,0,0,0,57969,11540,11540,917,117,0,5942,117,0
19800,PLAQUEMINE BANK&TRUST CO,20251231,NM,1,228632,26971,100020,94295,202343,0,0,0,203632,25000,25000,4519,1289,0,7346,1289,0
19809,HERSHEY BANK,20251231,NM,1,138500,9600,7225,114929,100634,0,20967,0,121912,16588,16588,3948,311,20967,6746,311,0
19819,SOUTHEAST FIRST NB,20251231,N,1,70414,22584,25977,20389,61511,0,0,0,61821,8593,8593,382,310,0,1464,310,0
19827,PIONEER TRUST BANK NA,20251231,N,1,734930,196685,48260,482668,628013,0,0,0,628585,106345,106345,3526,572,0,7317,572,0
19836,FRANKLIN SAVINGS BANK,20251231,SM,1,775801,22950,44856,658457,610489,0,19000,0,638340,137461,137461,39193,8851,19000,49538,8851,0
19850,WEST GATE BANK,20251231,NM,1,1403917,44621,257841,981235,1177323,0,66031,0,1257352,146565,146565,34510,13998,66031,120220,13998,0
19899,KS STATEBANK,20251231,NM,1,2642787,154304,419797,2022508,2217306,11990,72598,0,2315816,326971,326971,37512,13922,84588,46178,13922,0
19904,CENTINEL BANK OF TAOS,20251231,NM,1,413219,101663,147409,152801,376497,0,0,0,380491,32728,32728,9752,3994,0,11346,3994,0
19977,ISRAEL DISCOUNT BANK OF NY,20251231,NM,1,14430208,1145485,2601432,9874748,12510967,0,2586,0,13001018,1429190,1429190,526541,383361,2586,808543,487465,0
19978,PENNSVILLE NATIONAL BANK,20251231,N,1,287602,37149,117566,126176,257999,0,0,0,259495,28107,28107,2988,1496,0,6711,1496,0
20015,BESSEMER TRUST CO,20251231,NM,1,1863938,287927,1300789,257779,1723058,0,0,0,1740035,123903,123903,15208,16977,0,17443,16977,0
20026,EASTERN NATIONAL BANK,20251231,N,1,84840,26272,699,54593,74332,50,0,0,76787,8053,8053,1273,2405,50,3276,2405,0
20093,ALL AMERICA BANK,20251231,NM,1,593707,14253,96127,462394,528402,0,0,0,530123,63584,63584,10187,1721,0,20933,1721,0
20099,TEXAS EXCHANGE BANK,20251231,NM,1,4500280,1046015,833400,942017,2604554,108889,1325000,0,4114679,385601,385601,268224,76236,1433889,1678848,76236,0
20100,TOWER COMMUNITY BANK,20251231,NM,1,382391,23877,41200,289971,336893,0,0,0,341936,40455,39874,12574,5043,0,27343,5043,0
20130,BANKFIRST,20251231,NM,1,1202363,13055,394458,727837,739237,0,268733,0,1017611,184752,184752,43037,9641,268733,67013,9641,0
20156,KIRKPATRICK BANK,20251231,NM,1,1038067,38161,220252,760751,932524,0,8500,0,950067,88000,88000,7079,9043,8500,18903,9043,0
20161,CITIZENS BANK OF LAS CRUCES,20251231,NM,1,1145757,39856,272645,797733,1024830,0,0,0,1033804,111953,111953,21684,8974,0,35523,8974,0
20162,ASCENT BANK,20251231,NM,1,110274,16307,9364,79166,97418,0,2000,0,99597,10677,10677,1596,179,2000,5437,179,0
20164,SUNWEST BANK,20251231,NM,1,4087875,124405,514616,3277047,3176480,0,484341,0,3705612,382263,382263,148995,44791,484341,171807,44791,0
20179,FIRST INDEPENDENCE BANK,20251231,NM,1,696917,24183,118958,415465,532613,4000,63764,0,612330,84587,64135,105020,11953,67764,138311,11953,0
20198,SOUTH GEORGIA BANKING CO,20251231,NM,1,606016,49081,100175,365975,528837,0,0,0,531030,74986,74986,28558,2193,0,90785,2193,0
20231,PINNACLE BANK,20251231,NM,1,2729496,131853,574083,1838904,2353192,0,247,0,2373089,356407,356407,18045,19650,247,184656,19650,0
20234,CITY NB OF FLORIDA,20251231,N,1,28048551,747800,6263287,19636395,21943367,44268,2835366,0,25141307,2907244,2907244,1177434,273790,2879634,1401069,318306,0
